ke,len_inLAr
0.0117341,0.176511
0.0118171,0.181214
0.0118947,0.183796
0.0119582,0.184105
0.0119946,0.184375
0.0120528,0.187881
0.0122454,0.192075
0.012332,0.192916
0.0123628,0.198573
0.0124203,0.200279
0.0124947,0.201367
0.0125849,0.201952
0.0126877,0.202587
0.0126902,0.205086
0.0127109,0.205664
0.0127814,0.207372
0.0127851,0.207601
0.0128091,0.210092
0.0129201,0.211925
0.0129208,0.212281
0.012947,0.215041
0.0130465,0.216609
0.0130928,0.216887
0.0130932,0.222462
0.0132491,0.225659
0.0133064,0.226515
0.01346,0.230201
0.0136023,0.230607
0.0136798,0.230968
0.0137869,0.231688
0.0137873,0.233437
0.0138025,0.234111
0.0138861,0.23598
0.0139321,0.236009
0.0139476,0.24484
0.0140418,0.245064
0.0140676,0.24616
0.014155,0.251175
0.0143048,0.253208
0.0144115,0.256199
0.0144438,0.256806
0.0145237,0.265326
0.0148375,0.271897
0.0148836,0.277149
0.015006,0.277481
0.0151465,0.277768
0.0152383,0.286113
0.0152437,0.286859
0.0153048,0.289281
0.0154727,0.296795
0.0156766,0.298503
0.0157209,0.301319
0.0159387,0.3076
0.0160048,0.311039
0.0161304,0.318962
0.0162252,0.320006
0.016374,0.327464
0.0165792,0.330056
0.0166713,0.332285
0.0166852,0.336091
0.0167206,0.336717
0.0168698,0.339947
0.0169767,0.342216
0.0170356,0.343877
0.0171071,0.3497
0.0172877,0.349729
0.0173026,0.356105
0.0173153,0.359846
0.017592,0.364324
0.017703,0.370998
0.0179444,0.380878
0.0181111,0.380994
0.0181272,0.384901
0.0182587,0.388486
0.0183044,0.388783
0.0183167,0.389714
0.018388,0.397455
0.0184497,0.399647
0.0186045,0.406743
0.0187539,0.410627
0.01877,0.413492
0.0189046,0.415234
0.0189993,0.418995
0.0190458,0.420898
0.019209,0.426536
0.0193719,0.428055
0.0193876,0.446443
0.0196529,0.452222
0.0198241,0.453066
0.019963,0.456388
0.0200199,0.461607
0.0201754,0.463964
0.0202035,0.464569
0.0202295,0.470175
0.0202837,0.478211
0.0205225,0.484
0.0206435,0.492016
0.0207046,0.496862
0.0212244,0.503264
0.0212458,0.512592
0.0212761,0.516423
