ke,len_inLAr
0.0355498,6.26009
0.056217,12.9011
0.0624605,13.1111
0.0724884,17.0094
0.0862866,24.0139
0.0939512,24.8931
0.129712,40.6328
0.131519,42.4742
0.133425,42.8818
0.144747,46.7549
